State,Race,St_rce,ACS,BRFSS_IPV,IPV,Qualflag_IPV,,
AZ,Wht,AZ_Wht,0.65389,0.8174022,0.017805948,0,,
AZ,Blk,AZ_Blk,0.02824,0.0252393,0.014573382,1,,
AZ,Hsp,AZ_Hsp,0.24647,0.1110695,0.08127188,0,,
AZ,API,AZ_API,0.02313,0.0044513,0,1,,
AZ,NAAI,AZ_NAAI,0.03766,0.0349487,0.008911267,1,,
AZ,Oth,AZ_Oth,0.01062,0.006889,0.00055152,1,,
HI,Wht,HI_Wht,0.2494,0.3924702,0.031922377,0,,
HI,Blk,HI_Blk,0.01651,0.0090193,0,1,,
HI,Hsp,HI_Hsp,0.06514,0.1093193,0.009020587,0,,
HI,API,HI_API,0.5285,0.2216944,0.078110873,0,,
HI,NAAI,HI_NAAI,0.0022,0.0034565,0.00096569,1,,
HI,Oth,HI_Oth,0.13825,0.2640402,0.015037923,0,,
IA,Wht,IA_Wht,0.87912,0.9155132,0.028319925,0,,
IA,Blk,IA_Blk,0.0034,0.0130652,0.001128978,1,,
IA,Hsp,IA_Hsp,0.0816,0.0303315,0.001134724,1,,
IA,API,IA_API,0.01079,0.0051966,0,1,,
IA,NAAI,IA_NAAI,0.01143,0.0063776,0,1,,
IA,Oth,IA_Oth,0.01366,0.0295159,0,1,,
MO,Wht,MO_Wht,0.84822,0.8084298,0.059640129,0,,
MO,Blk,MO_Blk,0.10077,0.0839341,0.020283913,1,,
MO,Hsp,MO_Hsp,0.0232,0.0433113,0.002842023,1,,
MO,API,MO_API,0.01479,0.0093946,0.011247773,1,,
MO,NAAI,MO_NAAI,0.0041,0.0148617,0.000195218,1,,
MO,Oth,MO_Oth,0.00891,0.0400684,0.001081817,1,,
NV,Wht,NV_Wht,0.64347,0.6696471,0.026971174,0,,
NV,Blk,NV_Blk,0.06459,0.0371183,0.010999606,1,,
NV,Hsp,NV_Hsp,0.19949,0.1436488,0.012310767,1,,
NV,API,NV_API,0.06522,0.0203078,0.006436503,1,,
NV,NAAI,NV_NAAI,0.00893,0.0049149,0,1,,
NV,Oth,NV_Oth,0.0183,0.1243631,0.002296833,0,,
OH,Wht,OH_Wht,0.84888,0.8340802,0.051558509,0,,
OH,Blk,OH_Blk,0.10618,0.0888209,0.008595101,0,,
OH,Hsp,OH_Hsp,0.01957,0.0103619,0.006668096,1,,
OH,API,OH_API,0.01472,0.0066648,0,1,,
OH,NAAI,OH_NAAI,0.00192,0.0130481,3.17664E-05,1,,
OH,Oth,OH_Oth,0.00872,0.0470242,0.000237038,0,,
OK,Wht,OK_Wht,0.7593,0.7043758,0.034025144,0,,
OK,Blk,OK_Blk,0.06436,0.0622461,0.002569708,1,,
OK,Hsp,OK_Hsp,0.05255,0.0572073,0.005896226,1,,
OK,API,OK_API,0.01581,0.0027763,0.005961488,1,,
OK,NAAI,OK_NAAI,0.06456,0.0820166,0.003865536,0,,
OK,Oth,OK_Oth,0.04341,0.0913778,0.001320893,0,,
RI,Wht,RI_Wht,0.82585,0.8255615,0.069437551,0,,
RI,Blk,RI_Blk,0.0382,0.0222464,0.007163959,1,,
RI,Hsp,RI_Hsp,0.09228,0.0808933,0.003816489,1,,
RI,API,RI_API,0.02373,0.0039833,0.017696617,1,,
RI,NAAI,RI_NAAI,0.0032,0.017073,0.001365974,1,,
RI,Oth,RI_Oth,0.01674,0.0502425,0.004856863,1,,
VT,Wht,VT_Wht,0.96725,0.929038,0.071069274,0,,
VT,Blk,VT_Blk,0.0027,0.0016405,0,1,,
VT,Hsp,VT_Hsp,0.00517,0.0199839,0.000739022,1,,
VT,API,VT_API,0.01117,0.0015571,0,1,,
VT,NAAI,VT_NAAI,0.00167,0.0087035,0.000113658,1,,
VT,Oth,VT_Oth,0.01204,0.039077,0.002607841,1,,
VA,Wht,VA_Wht,0.70504,0.7539856,0.028953596,0,,
VA,Blk,VA_Blk,0.17942,0.1487193,0.00799361,1,,
VA,Hsp,VA_Hsp,0.05394,0.0395268,0.001731496,1,,
VA,API,VA_API,0.04775,0.0074368,0,1,,
VA,NAAI,VA_NAAI,0.00306,0.023773,0.000559564,1,,
VA,Oth,VA_Oth,0.0108,0.0265585,0.000125932,1,,
,,,,,,,,
